"user","ideology"
"delaniewalker82",NA
"Delaware_Dolfan",NA
"delgadoxox",NA
"delio_jon","1.34075503369022"
"deLIZZcious",NA
"DELLP215",NA
"DeloffreVirgile",NA
"DeltaRae","-2.05374891063182"
"delujeon",NA
"DemanniBrown",NA
"DemarcoPrice21",NA
"DemelloDaniel",NA
"DemForLife3","-2.32634787404084"
"demigodduh",NA
"demilobo","-2.32634787404084"
"demond_jason",NA
"denaliwright12",NA
"deneen_mcdonald",NA
"Denise07431020",NA
"DeniseCardwell","0.553384719555673"
"DeniseMealey1","-2.05374891063182"
"denney34",NA
"DennisA_Menace","0.674489750196082"
"denniscosta_",NA
"dennisculver",NA
"DennisVasquez00",NA
"DentonCountyDA","1.47579102817917"
"DENTONFAIRWAY","-Inf"
"DenverBennie",NA
"DenverSport",NA
"Denzel_Camuyot",NA
"derby_moore",NA
"derek_s559",NA
"derekharper03","1.47579102817917"
"derikgrotegut","1.34075503369022"
"derinee0823",NA
"DerlingMONROe",NA
"Derrek_marcuss",NA
"DerrenGeiger","1.40507156030963"
"DerrikSTRONG",NA
"Desautomatas","-0.279319034447454"
"descuento75",NA
"desdidmyhair",NA
"DesignsbyTTOC","-0.201893479141851"
"desiprocess","0.674489750196082"
"Desireevelozo6",NA
"desotowiweather",NA
"Destiiny_ziion",NA
"DestinationFre3",NA
"DestineeAmezcua",NA
"Destiny_Luv143",NA
"desvray","-2.32634787404084"
"DeszJm112",NA
"deuceohsixx","-1.34075503369022"
"dev_hunj",NA
"Devin_Pickell",NA
"devin_warrick",NA
"devinaoliver","-1.88079360815125"
"devinnwestcott","1.22652812003661"
"devinsartstash",NA
"devinwhatley","-Inf"
"devlin3d","-2.05374891063182"
"devonsanders",NA
"devotableapp",NA
"devyn_lol",NA
"dewwwdrops",NA
"DeXCVII",NA
"dexteryap5",NA
"Dezmond_B",NA
"DezTheNavigator",NA
"DF5VE",NA
"DFarcy","1.40507156030963"
"dfeud5","-1.88079360815125"
"dflory076","1.22652812003661"
"DgFantastic","0.674489750196082"
"dgfranco",NA
"DialogStatus",NA
"diamonddarianee",NA
"diamondddime",NA
"diamondfaith23",NA
"DiamondSTaylor",NA
"diamonv_",NA
"Diana_Kitsune",NA
"dianadcalabrese",NA
"dianeraucher",NA
"DianeTrout81","1.22652812003661"
"DiazIngridd",NA
"diedro1965",NA
"diego_o107",NA
"Diego42277253","1.22652812003661"
"diegonzalezuno",NA
"diesel_martin",NA
"diggky",NA
"Digitydaz77","1.40507156030963"
"diglielel",NA
"diiversequotes",NA
"dikoehler51",NA
"DiLaurentiska",NA
"Dilecta59","-0.674489750196082"
"dilletaunt",NA
"dimarshll","1.55477359459685"
"dinaosorio11",NA
"diniesyazwn",NA
"DionCc719","1.22652812003661"
"dipeshnx","0.358458793251194"
"Dirk_Diggler168","-2.05374891063182"
"discountblakula","-2.32634787404084"
"disney_kaylac",NA
"disneynialls",NA
"disvstxrology",NA
"DitoDC","0.2533471031358"
"dittstar",NA
"dividencontour",NA
"DivineDestinyab","1.1263911290388"
"Diznyeeee",NA
"dj_indigenous",NA
"Dj_JoKaZ",NA
"dj8ball305","1.22652812003661"
"djbigreeks","-1.40507156030963"
"djcease","-1.1263911290388"
"DjDorgan_",NA
"djenks__",NA
"djesisdead",NA
"DJFerg86","-1.34075503369022"
"djirockjesus",NA
"DJKAYOTIK",NA
"djknobz",NA
"DJLagente","-2.05374891063182"
"DJLiXxer","-2.32634787404084"
"djnifty007","-0.10043372051147"
"djpmac007","-2.32634787404084"
"djradar","-0.227544976641149"
"DjSkrull",NA
"DJSOMO2","0.176374164780861"
"DJSteed729","0.954165253146195"
"Djstucky1","1.47579102817917"
"DJSURGE4u",NA
"DJSYLK",NA
"DJVANONE",NA
"djxtothaz",NA
"DLaneyA",NA
"dlfcasss","0.772193214188685"
"DLownumbaFoe",NA
"dm_delavega","-1.88079360815125"
"DmagnessDO","-1.75068607125217"
"DMatiKMusic",NA
"dmatuszak2020","-1.88079360815125"
"Dmcfail98","-0.201893479141851"
"DMoone78",NA
"DMorgzzz_",NA
"DMOunited","-2.05374891063182"
"dmshah2009","1.1263911290388"
"Dmv_Floss",NA
"dmvn16",NA
"DnCrnRps","-0.201893479141851"
"dnickfit1",NA
"Doc_68W_",NA
"DocAwesome_PhD","-1.2815515655446"
"docbeerio","-2.32634787404084"
"docgem13","1.47579102817917"
"DoctorS23519345",NA
"DogtoothCG",NA
"DolansGrunge",NA
"dollajordan",NA
"DollazDurdy",NA
"dolllfaceexo",NA
"Dom_Cristini","0.553384719555673"
"DominikeLopez",NA
"DominikKudzma",NA
"domnewen",NA
"domo_mge",NA
"don_quixbrote",NA
"donahoe_ryan",NA
"Donblacksax","-1.03643338949379"
"donewman10","1.75068607125217"
"doniguanc4","0.915365087842814"
"donjzea1",NA
"DonkaInc",NA
"DonnaColaizzo4","-1.88079360815125"
"donnchii","1.22652812003661"
"donpaco13",NA
"DonTrumpStanner","1.22652812003661"
"doodirty02",NA
"DoodleDeeves_",NA
"dooreos",NA
"DopeAntho","-2.32634787404084"
"dopeitsdeshon_",NA
"DopeLife15",NA
"dopeyoda",NA
"Dorcell_C",NA
"DoriseJenna",NA
"dorisfromdade",NA
"DoThangz_",NA
"DotProduct3D",NA
"DotsonJason","1.64485362695147"
"Dottie36553729","1.47579102817917"
"DouBle_Graph",NA
"Double09er",NA
"DoubleCdebacle",NA
"DoubleDabba",NA
"DoubleOreppa",NA
"DOUBLESACRIFICE",NA
"doubletreble8","-1.75068607125217"
"doucebts",NA
"Doug_Gorsline","1.22652812003661"
"DougHarding5","1.47579102817917"
"dougridley","1.22652812003661"
"Doukhnevitch","1.22652812003661"
"DoveMicah",NA
"dovostei","-0.227544976641149"
"downtownCMBrown",NA
"dpauto",NA
"dpirali50",NA
"DPrazenka","1.75068607125217"
"DPRdental","1.40507156030963"
"DPSMarketing_MG","-1.55477359459685"
"Dr_drizzle3",NA
"DR_PartyPooper",NA
"drabenstoyland",NA
"dragondee2019","-2.05374891063182"
"DrAGoNoXz",NA
"Drake10623447",NA
"dramobombs","0.706302562840088"
"DrAshChiro",NA
"DRBhagat7393","-0.915365087842814"
"DrCeitm","1.47579102817917"
"drdavis1969",NA
"dreagutierrez1",NA
"DRealaideyan","-2.32634787404084"
"DREAM___BANK","-1.88079360815125"
"DreddyFlacko",NA
"dreerivers",NA
"dreezydreezy","1.22652812003661"
"Drew2_suave",NA
"Drew24K",NA
"drewboy_black94",NA
"drewconlon99","1.47579102817917"
"DrewfusGaming",NA
"DrGaryClark","-0.877896295051228"
"DrGonzo_Backen","-2.32634787404084"
"drigoabstract",NA
"Driinchy",NA
"drinkHH",NA
"DriveMelton",NA
"DrivenByLunacy",NA
"Driverrrrrr",NA
"Drizzlepop499","0.772193214188685"
"Drizzy_K32","1.03643338949379"
"DrJalehKazemi","0.495850347347453"
"DrJeffreyBone","-2.05374891063182"
"DrKatDuncan","-0.915365087842814"
"drknowles",NA
"DrLealCovey","0.553384719555673"
"dro_tx",NA
"drone_universe",NA
"droosy_",NA
"Dropppdeadd",NA
"DroughtTheMovie",NA
"drpattisue","-0.954165253146194"
"drpaulapowers","-1.1263911290388"
"drpepperdavid","1.47579102817917"
"drschaubf",NA
"DrSeuss_23",NA
"DrStacyCarlin","1.47579102817917"
"drstrangz",NA
"Drtamssen","1.34075503369022"
"drugsclub",NA
"drugzpleez",NA
"DrYolandaRios","-1.47579102817917"
"ds_velazquez","-2.32634787404084"
"dsc031965","-2.32634787404084"
"dslundberg","-1.64485362695147"
"dtbageon","-1.75068607125217"
"DTXAustin",NA
"DuceStarbury","-0.80642124701824"
"duckofprey",NA
"duckthenduck",NA
"Duds16001406",NA
"DuendeProject","-1.1263911290388"
"duffmckaganalb",NA
"duffysdog3","-1.55477359459685"
"duhraill","-1.2815515655446"
"dukebrunke",NA
"DukeSo_Ku",NA
"DullahanLex",NA
"dumbfuckinbitch",NA
"DuNguyenHo","0.772193214188685"
"DurhamNC","0.954165253146195"
"DurtyVali",NA
"Dustin_King14","1.22652812003661"
"Dustinpenner25","1.55477359459685"
"DustinSloann","1.22652812003661"
"DustyBailey","1.22652812003661"
"dustydogmondu","1.64485362695147"
"dustyhenson","1.22652812003661"
"duvy_peep",NA
"DVIRC_PA","0.524400512708041"
"DWaLLL03",NA
"dwedwards913","-2.05374891063182"
"dweltmer35","1.40507156030963"
"dyl_n_","1.17498679206609"
"dylan_exton",NA
"dylan_p_clark","0.385320466407568"
"Dylan20_K",NA
"DylanLoades","1.22652812003661"
"DylanUtter66","1.03643338949379"
"DynamicFandS",NA
"DynamosSC",NA
"e_morrison12",NA
"E7sharp9","1.75068607125217"
"eachorton","-1.2815515655446"
"Earlkcmac","-1.64485362695147"
"EarlyAugust",NA
"EarlyReport","1.55477359459685"
"eastbayshay",NA
"ebiblup",NA
"EBJunkies","1.64485362695147"
"ebonbeats","-2.05374891063182"
"ebonee_renae",NA
"ebonygardens073","1.03643338949379"
"ebonykellogg",NA
"Eborix5","1.75068607125217"
"ebperry","-1.40507156030963"
"ebredensteiner",NA
"ebxo__",NA
"ecarl56",NA
"Eccecjay","-1.34075503369022"
"echohawk41",NA
"ECINCORPMI",NA
"ecolman32","-0.201893479141851"
"ED311News","1.22652812003661"
"edbartonforwa","1.22652812003661"
"eddie4urinfo",NA
"eddiedeanrobins",NA
"EDDY413_",NA
"EddyG___",NA
"EdenShona",NA
"EdSource","-2.32634787404084"
"edu__vg",NA
"eduardobastida","1.17498679206609"
"EduGiuliani1",NA
"EduSButragueno","1.75068607125217"
"EdViscusi","1.55477359459685"
"Edward07432911","0.706302562840088"
"EdwardsTallen",NA
"edwin_moso",NA
"Edwinw_1997","0.994457883209753"
"EdynJacks","0.674489750196082"
"Ee_Ay",NA
"EEklatera",NA
"eelinaxo",NA
"ef1j95",NA
"efowler86",NA
"egy_amera",NA
"ehardefer","-1.2815515655446"
"EhldrenFranc",NA
"ehrhardt297",NA
"EhsSportsmedia",NA
"EHWellness","1.03643338949379"
"eiIixir",NA
"eileenhargis1","0.524400512708041"
"eileenstreet","0.80642124701824"
"eirb013",NA
"Eire1Cork",NA
"Ejectedfetus",NA
"ejreed1","-1.88079360815125"
"EJSams10",NA
"ejsmith24","-2.32634787404084"
"EkatyaK",NA
"ekgundy","-2.32634787404084"
"el_eddylopez",NA
"ELawrencek",NA
"ElBandido30",NA
"ELCHIEF85",NA
"EldRynPhoenix","-2.32634787404084"
"EleanorsMommy_",NA
"electricwefixit","1.47579102817917"
"elenamcastro",NA
"elesiete",NA
"elfchica","-1.88079360815125"
"elgc45","-2.05374891063182"
"elgiesey","-2.05374891063182"
"elguardian_us","0.80642124701824"
"ElGuardianAngel","-1.55477359459685"
"elhielera",NA
"ELHoops",NA
"eliastotah",NA
"EliH01_",NA
"elijahheinze24",NA
"elijahsievert","0.279319034447454"
"eliodrums15",NA
"elipeaters",NA
"elipres2012","1.22652812003661"
"ElisabethSlzrr_",NA
"elisedrvke",NA
"EliseMDillon","1.40507156030963"
"ElishamaP",NA
"ElitaniaDoming1",NA
"ELITEMADSKILLZ","-1.2815515655446"
"ELIVAN_A25","1.22652812003661"
"elizabe33230653",NA
"Elizabe57144018",NA
"ELIZABETH_VC_","0.524400512708041"
"ElizabethFalls3","1.40507156030963"
"elizabethhh",NA
"elizabethk_71",NA
"elizabethrosner","-2.05374891063182"
"ElizabetSabroso","1.55477359459685"
"ElizaOtis5",NA
"ella_lucas07",NA
"elladidge",NA
"ellafairkid",NA
"elleeadrianaa_",NA
"elleforlexie",NA
"ellen_rakowski",NA
"EllenMFiore","-1.40507156030963"
"ellietempletonn","-2.32634787404084"
"elliotcwilliams","1.2815515655446"
"ElliottMilligan",NA
"ElMiguelLA","1.22652812003661"
"ElmiraPolice",NA
"EloDinero","1.22652812003661"
"eloyvseloy","0"
"ElPresidenTroll","-0.0501535834647337"
"elru11",NA
"elsfaye",NA
"elviriavaldaz",NA
"elysmy_",NA
"elzorn","-2.05374891063182"
"Em19699142",NA
"Eman_Dman_","-1.88079360815125"
"EMan22K","-2.32634787404084"
"emcbride95","1.2815515655446"
"emcckw","-0.201893479141851"
"emelinelongoria",NA
"emileedelgado",NA
"emiliauhhh",NA
"Emiliemonje",NA
"EmilioTorrejonb",NA
"emiliov62",NA
"emily_ann20",NA
"Emily_brooke223",NA
"Emily_Duskic","1.22652812003661"
"emilybest","-1.40507156030963"
"emilyeyman1",NA
"emilygr52550597","1.22652812003661"
"EmilyJillette","0.954165253146195"
"EmilyLegno","1.22652812003661"
"emilysbish","1.40507156030963"
"EmilySzajda",NA
"EmilyVa00301229",NA
"EmilyXHansen",NA
"emilyyylynnee","1.64485362695147"
"emjansen","1.2815515655446"
"EMKEIIII",NA
"EmlynDThomas","0.954165253146195"
"Emma_Goonzalez",NA
"Emma_hutch03",NA
"Emma6713","1.75068607125217"
"emmagarza21",NA
"emmagreennland",NA
"EmmaJean123",NA
"emmaleedduncan",NA
"EmmaLouiseBacke","-1.88079360815125"
"emmanueIv",NA
"emmelisexoxo",NA
"EmmeTatum","1.47579102817917"
"emmiesmith_1",NA
"emmyralds",NA
"emnromero",NA
"emoboyangie",NA
"emplauncher",NA
"EMSCCHURCH",NA
"emSilly_O",NA
"EmskiTherese","1.22652812003661"
"EMUCampusLife",NA
"emxd_",NA
"EmYouGeeZee",NA
"encludsuga70",NA
"engagedcornell",NA
"EnglandJGS",NA
"englishmajorxo","-1.1263911290388"
"enimsajoxx",NA
"ENO_PHS",NA
"entertainspecs","0.954165253146195"
"EntrechatDance",NA
"enzinhobm","1.22652812003661"
"EPauldingDECA",NA
"EPaulsen99","1.22652812003661"
"EPhandom",NA
"EPhotography77","1.22652812003661"
"EPIC_CHESS",NA
"EpicEventCenter",NA
"EpsteinZach",NA
"ERateCT",NA
"erendur402",NA
"Eric_Dorris1",NA
"Eric_Foote","1.47579102817917"
"Eric_Fro","-2.32634787404084"
"eric_scogin",NA
"ericaallves_",NA
"EricaNe09478630","0.524400512708041"
"ericblee6",NA
"ericbradner","1.03643338949379"
"ericceballosp",NA
"ericclee1","-1.64485362695147"
"ericcotax",NA
"ericdailey","1.40507156030963"
"erichoutman","-1.47579102817917"
"EricinRacine","0.954165253146195"
"erickapino","0.994457883209753"
"Erickkk_7",NA
"ErickTijiboy",NA
"EricLyublinsky",NA
"EricMatlock6",NA
"EricNoel15","1.40507156030963"
"ericplantemusic","-2.05374891063182"
"EricRic12709047","1.22652812003661"
"EricsJoyRide","-0.553384719555673"
"ErikaArchibal12",NA
"ErikaDyson5",NA
"ErikaKing12",NA
"ErikArispe","0.706302562840088"
"erikavineyard","1.47579102817917"
"erikDaguilar",NA
"erikdcain",NA
"erikec","2.05374891063182"
"ErikEvenson","1.47579102817917"
"ErikHab80670350",NA
"ErikNielsen46",NA
"erinabloom",NA
"ERINMUSTDlE","-2.32634787404084"
"ErinWaferHawley","0.10043372051147"
"ErnmanSellsOut","-2.05374891063182"
"ERPSuites","0.915365087842814"
"erut013","1.22652812003661"
"ErvinValdez26",NA
"Eryka_Dyanne","1.34075503369022"
"Eryka_lovesYou",NA
"esaakk","-1.1263911290388"
"EscobarTrades","1.88079360815125"
"ESCunited",NA
"escupeletras",NA
"Esh2112","-1.88079360815125"
"ESieg","1.03643338949379"
"Esperanzaamarie",NA
"essy116cx",NA
"esthermeyg",NA
"Ethan_8832",NA
"Ethan_MidPen",NA
"EthanHerzog3",NA
"EthanJCK","0.524400512708041"
"EthannMckinneyy","-1.88079360815125"
"ethansands19",NA
"ETJohnson22",NA
"etwom","0.706302562840088"
"etxsymphony",NA
"Eu_stress",NA
"Eugene_Paolo","0.915365087842814"
"Eurokid2000","0.994457883209753"
"euwinmose","1.22652812003661"
"Ev_Bean",NA
"ev18sweetpea","-2.05374891063182"
"evaaaaaaq",NA
"Evamariaepstein",NA
"Evan_Devould","0.877896295051229"
"Evan_Van_Dyk","1.22652812003661"
"EvanBrown_",NA
"EvanCherry32","1.55477359459685"
"EvanCrum1319","0.385320466407568"
"EvanderJones361",NA
"EvanElder3",NA
"evangelinaarion","-2.32634787404084"
"evansbrownsub","1.22652812003661"
"evansraw_",NA
"evarver","1.17498679206609"
"EveDelores","1.34075503369022"
"EverettHood1","0.994457883209753"
"evertjafet",NA
"EveryoneSam",NA
"EveVonWinter",NA
"EVG_Smiles","1.03643338949379"
"EvolvePRArizona","-0.201893479141851"
"Excalibur250",NA
"existingemily","-1.88079360815125"
"exjxrxm",NA
"ExperianMktg_US","-0.201893479141851"
"ExpertRadon",NA
"ExpressSavory",NA
"exquisitelyamy","1.47579102817917"
"ezjoesautos",NA
"EZMotorsTampa",NA
"ezryder12","1.22652812003661"
"F_Baby50","1.2815515655446"
"F5inspector",NA
"Fa_diez","1.22652812003661"
"Fabian_Moncvice","0.643345405392917"
"FabienneShuler",NA
"FabkzK",NA
"fablesandtea",NA
"FAbzabove",NA
"FacuMautone",NA
"Fadel_Awada12",NA
"faeriepkmn",NA
"FAHD2BE",NA
"FahDaClown",NA
"FairallJane","-0.915365087842814"
"fairwayfilm","-0.201893479141851"
"faisalx120","0"
"FaithAFolsom","0.643345405392917"
"faiydobrik",NA
"FakeKWinslow",NA
"falconfury2","0.674489750196082"
"FanbaseWeekly",NA
"fantasia_ruff",NA
"fantasticfluff",NA
"FantasyGuruBro",NA
"fantasypolitics","1.22652812003661"
"FantomPebbles","-2.32634787404084"
"fanyrls",NA
"FargoTeamRocket",NA
"FarleighAmanda",NA
"FARM3RX",NA
"farmberries","1.64485362695147"
"FarmersStockton",NA
"farmstrong82",NA
"FarragherTom",NA
"faryl","-2.05374891063182"
"fashionbyrd","0.331853346436817"
"FastestLoss",NA
"FatBoiSlim2001",NA
"FatBoyConstCo","1.22652812003661"
"FatBoyFlem",NA
"FaTed_X_RaTed","-2.05374891063182"
"fatehmedia65",NA
"fatherjoonie",NA
"FatherThyme59","1.64485362695147"
"fatii_rios",NA
"FatimaRevolts","0.358458793251194"
"fatimatbz",NA
"FatimSTraore",NA
"FatPrincess214",NA
"fatpurrtato",NA
"FattyA37",NA
"FauxNewsHound","1.75068607125217"
"favfas","0.553384719555673"
"FayBulldogCheer",NA
"FayetteBball",NA
"FCGrizAthletics","0.553384719555673"
"FCPsychDept","-0.954165253146194"
"feartheterp09","-1.17498679206609"
"feartree",NA
"FedWeb123",NA
"FeldmanLansing","0.954165253146195"
"felifelmarie","1.22652812003661"
"FeloniousBiggs","1.22652812003661"
"fenbranklin","-1.55477359459685"
"FengShuiSimply","-2.05374891063182"
"FennecMusic","-2.05374891063182"
"fernandadav","1.22652812003661"
"FernandaSuele17",NA
"Fernandezz885",NA
"FernandoDonal13",NA
"fernanthemann",NA
"FerrisCoffee",NA
"FFM4Life","1.17498679206609"
"FGAWV",NA
"fgcLefty","-1.88079360815125"
"FiebelkornMary","-2.32634787404084"
"fieldguidetom","0.915365087842814"
"FigeroaSusan","1.2815515655446"
"fightdogblaze",NA
"filmmakerds",NA
"Filmore_Hawk",NA
"filmorefox","0.706302562840088"
"filthydre",NA
"filthymcdave","-0.201893479141851"
"FimbleThimble",NA
"Finding_Zee",NA
"FineAssLame","-2.05374891063182"
"FineassTaylor",NA
"FineeFran",NA
"Finesse_phenom",NA
"FinesseLuciano",NA
"Fingersmcgee","-1.1263911290388"
"finn_macanthony",NA
"FinnStrode",NA
"fiorenzadowlin","1.47579102817917"
"Fiorepairone12",NA
"Fire65Alt",NA
"firedbigbird","-2.32634787404084"
"firekraqur","-2.32634787404084"
"firelut",NA
"FireRed95022466",NA
"firigon","0.0752698620998299"
"firstchurchwash",NA
"FisherGSports",NA
"fito_teacher","0.954165253146195"
"fjnation","0.385320466407568"
"FlackKatlyn","1.22652812003661"
"flaco_place",NA
"flanman24601","-2.32634787404084"
"FlashMobileLat1","1.22652812003661"
"flauschiiige",NA
"FlBlackBears",NA
"flesymevo1",NA
"flipflopsnfun",NA
"flipwriter","-1.1263911290388"
"FLOALB199",NA
"floflos19","1.22652812003661"
"FloodthatHole","1.22652812003661"
"Floozxx",NA
"FlorenceMKeaton",NA
"Florida_Boy_Bud","1.47579102817917"
"floridaguy1359","-1.03643338949379"
"floridarocket70",NA
"FlorisBosveld",NA
"FloristCentral",NA
"FlowerGod888",NA
"floyd_fanci","0.915365087842814"
"FLP_94_",NA
"flpnacandy",NA
"FLStrawberryFst","1.34075503369022"
"FLTheatre",NA
"Fluent_Forever",NA
"FluidityYT",NA
"fly44d","-0.994457883209753"
"flyerswrestle","1.22652812003661"
"FlyHighFootball",NA
"FlyingAce720","1.55477359459685"
"FlynnD","0.877896295051229"
"FLynnT97",NA
"fmaafayette",NA
"FMUSports",NA
"Fn_Ron",NA
"FNR_ZAY",NA
"focusedschools",NA
"Follow_ThisGuy1",NA
"fonseca4405",NA
"foody_style",NA
"Foot_OnThe_Line",NA
"footpuppy",NA
"foreestfire",NA
"ForensicCarlosG","1.34075503369022"
"foresteyez","-1.88079360815125"
"Forevermcdaniel",NA
"ForeverPrecise",NA
"ForeverrLizz",NA
"ForJoysSake",NA
"FormalSite",NA
"Forsaken_Nigel",NA
"fortekia64","-1.47579102817917"
"ForwardMSNFC",NA
"FosterDanielD","-0.612812991016627"
"FostoriaHSHoops",NA
"fotisbot",NA
"FoundersSpace","-1.2815515655446"
"FourSwordsLink","-1.17498679206609"
"FOX19MattW","1.22652812003661"
"FOX59","1.2815515655446"
"fox5melanie","1.17498679206609"
"fox5sandiego","1.2815515655446"
"FoxDropEmOff",NA
"foxforce88","-1.88079360815125"
"FoxyCatCoven",NA
"fraaankiiee",NA
"Fragment420","1.22652812003661"
"fran_nov","1.22652812003661"
"franciaa_c",NA
"FranciscoIanini",NA
"Franciscooocx",NA
"frange77",NA
"FrankBondz",NA
"frankielaanan",NA
"frankieplaza",NA
"frankoanderson","0"
"FrankTobola",NA
"franktrill",NA
"franlangleyart","-2.05374891063182"
"FrantasticLifee","-0.201893479141851"
"FrayedBlueJeans",NA
"frayspn",NA
"frazierjosh1261","1.22652812003661"
"frbdnfruta",NA
"FreakyBlack4",NA
"freaxxxybttm",NA
"freckledjass_",NA
"freddrummer","1.55477359459685"
"freddy_fender14",NA
"FreddyChevy",NA
"FrederickVarre6","0.994457883209753"
"FredoHilfiger",NA
"FredOliverHomes",NA
"FredrikSolemdal","1.22652812003661"
"FredSchwenk",NA
"fredscott07",NA
"fredtulk",NA
"fredunplugged","-1.64485362695147"
"fredvanschie","-2.32634787404084"
"FreeeLucifer","1.22652812003661"
"FreeK8y","-0.0250689082587111"
"FREEOFNC",NA
"Fren_P",NA
"frenchvanilla29","-1.34075503369022"
"friasvictoria00",NA
"Frivera210","1.22652812003661"
"Frnsco_",NA
"from_Paddington","1.22652812003661"
"FromSF","-2.32634787404084"
"fromthespanish",NA
"FrshPrinceBlack",NA
"Frstn20","1.22652812003661"
"Fructosojuice","0.150969215496777"
"fruityrudy418",NA
"fruitzsamurai",NA
"frybreadthighs9",NA
"frye_bri","-1.88079360815125"
"ftpernesto",NA
"fuckbays","1.22652812003661"
"fuckgriz",NA
"FuckRillaKilla",NA
"fugpapi","-1.2815515655446"
"fulk_christian","0.0752698620998299"
"FullJellyfish",NA
"FullSpecFarms",NA
"FungaLoyd",NA
"funkyuncle","-2.32634787404084"
"Furknee03",NA
"Future_Falcon",NA
"fuzzieart","-1.88079360815125"
"fwiffo","-2.32634787404084"
"G_CIT0","0.915365087842814"
"G0ldenstatemike",NA
"g0nex0",NA
"G4BOYZ",NA
"gaarlicfry",NA
"gabbie_rene",NA
"gabby_niko",NA
"gabbysamantha_",NA
"gabbysingles",NA
"GabbyVillanueva","1.47579102817917"
"gabe24_Saavedra",NA
"GabeAndStar",NA
"Gabecruz122",NA
"gabeflowers","0.841621233572914"
"Gabriel2389",NA
"Gabriel54786057",NA
"GabrielleDesche",NA
"GabrielleRDixon","-2.05374891063182"
"gabryelledam","-2.05374891063182"
"gabsceleste",NA
"gabyc0614",NA
"GabyChaves11",NA
"gabygxo",NA
"gabysofleal",NA
"Gad860","-1.75068607125217"
"gadunn","-1.2815515655446"
"gagedub","1.22652812003661"
"gagefulford1",NA
"gainznerd","-2.32634787404084"
"galaxypaws58",NA
"GallosHumor6","-2.05374891063182"
"Gallucci707",NA
"Galvezalex65",NA
"GameOverWillie","1.22652812003661"
"GameScape3D","-1.88079360815125"
"GameStarLV",NA
"gamingreviews11",NA
"GansoBombDotCom",NA
"GAPearlgirls",NA
"garagerick",NA
"garciareyna45",NA
"GardeniaGonza12",NA
"garfunkel24","1.34075503369022"
"GarraBarker",NA
"GarrettBraun","1.40507156030963"
"garrettdwitt",NA
"GarstProduction",NA
"gary_hawkeye95","-0.201893479141851"
"garyb_24",NA
"garygulley","-2.32634787404084"
"GaryHtweets","1.22652812003661"
"garykern69","1.75068607125217"
"garzj_",NA
"garzt710","1.55477359459685"
"GatitaGamerXD2",NA
"gator17","-1.08031934081496"
"gatorair","1.40507156030963"
"GautierYasmin",NA
"GaveMeLight",NA
"gavinjoshh",NA
"gawsip101","0.674489750196082"
"GayWedgie",NA
"GayWWEFanAJK",NA
"gazetteandienne",NA
"GazetteInsights","0.994457883209753"
"GB_Bobcat_SB",NA
"gbayalltheway",NA
"GBC_TFP",NA
"gbchutch",NA
"GBE3_BANG",NA
"GbertGotfreed","-2.32634787404084"
"GBHSaacps",NA
"GBKsr","1.22652812003661"
"gbrford","1.22652812003661"
"gbsgroup",NA
"GCba24",NA
"GCHammer","1.17498679206609"
"gcolgan7",NA
"GCTheatre49",NA
"gdimeweather","-0.10043372051147"
"GDTRFB","1.47579102817917"
"geauxyaeee",NA
"geecaulfield","1.22652812003661"
"geeeWhis","-2.32634787404084"
"GeekGhost",NA
"GeekSpaceTV",NA
"geekydestro",NA
"GeekyNurseKevin","-2.32634787404084"
"GeenaRenee_",NA
"geespencer",NA
"GehlhausenRiver",NA
"GehlTales","-0.201893479141851"
"gejr05",NA
"gemeaux95",NA
"genbbabe",NA
"gene_jockey",NA
"generaln8ion",NA
"Genesis110116",NA
"GenieBeeFox","-2.32634787404084"
"gennedomingo",NA
"genuinescootco",NA
"GeoDave101","-1.1263911290388"
"GeofferyMarquez","1.1263911290388"
"GeoffLiou","-2.32634787404084"
"GeoffreyCurtis","1.40507156030963"
"Geoo_Dude",NA
"george_oliver19",NA
"georgebalen",NA
"georgeciveris","-1.88079360815125"
"Georgeeeeeeeee3",NA
"GeorgeEvans92",NA
"georgejorgenson","1.47579102817917"
"GeorgeKautai",NA
"GeorgetownColl",NA
"georknee_",NA
"geotally25",NA
"Gerardo_155_",NA
"gerardo60s",NA
"gerbandsun",NA
"gere_fulton","-2.32634787404084"
"gerilynn_mae","1.47579102817917"
"GerrellTrevor","1.22652812003661"
"GethsemaneWolf",NA
"GetRiteRecords",NA
"GetSetJedi",NA
"Gettingtrump","1.55477359459685"
"getzaius","1.03643338949379"
"GF_MensLacrosse",NA
"GFTskills",NA
"gfunkjr","1.55477359459685"
"GGChristian_",NA
"Ghanahfresh",NA
"ghazaleh_sha","-2.32634787404084"
"ghostbear105","-0.305480788099397"
"ghostboy2004449",NA
"GhOsTex543",NA
"ghxstarts",NA
"gia_elizabeth02",NA
"giaa_ninaa",NA
"GianaLynnMusic","-2.05374891063182"
"gibbear91","1.03643338949379"
"GibranGraham","-1.1263911290388"
"GideonZhi","-2.05374891063182"
"GieserAlex",NA
"GiftJH",NA
"Gigalithic",NA
"Gigiboi69","-2.05374891063182"
"giher9",NA
"GIJAYNEFITNESS","1.17498679206609"
"gilbert6164",NA
"Gilberto_Neris",NA
"Giles_Adams",NA
"GilhamMary",NA
"GinaDePalmaLV","-1.2815515655446"
"GinaLaflure",NA
"ginasjourney89",NA
"GinnandTopics","-1.88079360815125"
